,Presence of Investment Promotion Unit,Land Use Plan,Population,Local Economy Growth,Availability of Basic Utilities,Budget for DRRMP,Capacity of School Services,Transportation Vehicles,Education,Poverty_Incidents,Cluster_Id
Aborlan,0.66668,0.96924,0.054114358212714875,0.006795273509758766,0.84188,0.05891411691849017,0.025598700645263744,0.006790567199687145,0.1186162105032877,0.14184513688554343,2
Abra De Ilog,0.0,0.9589600000000001,0.047527637341308965,0.010721431537619388,0.81952,0.05891411691849017,0.0031777697352741194,0.13206482415943274,0.0225867993652967,0.2326563883104395,1
Abucay,1.0,0.94872,0.06784989000611166,0.0015100607799463925,0.885,0.006576459562994252,0.11263428283916045,0.11309806749823763,0.07685193997877682,0.0395710346496507,2
Abulug,0.5,0.5384800000000001,0.04960023563928636,0.0019630790139303104,0.75624,0.006850478711452346,0.1417638387458399,0.0433191355842111,0.11534893763912528,0.16044042820116028,1
Abuyog,1.0,0.96364,0.09671486730968099,0.00407716410585526,0.30672000000000005,0.06466851903611014,0.16277242755126325,0.06088094730753992,0.1980251466366264,0.33085481025797786,2
Adams,0.79976,0.9846,0.0,0.006795273509758766,0.49500000000000005,0.012330861680614221,0.021185131568494133,0.0,0.022160633339536384,0.04364671493800509,2
Agdangan,1.0,0.9461600000000001,0.015260536047356936,0.01223149231756578,0.545,0.008494593602200909,0.14970826308402518,0.029972158674481195,0.022160633339536384,0.15037859248928542,2
Aglipay,1.0,0.96,0.046497428951382334,0.0018120729359356708,0.83596,0.006850478711452346,0.07485413154201259,0.05549532504571908,0.07159589232773293,0.11981099032662756,2
Agno,1.0,0.9897600000000001,0.044109851399052366,0.006342255275774848,0.6667200000000001,0.017537225501318005,0.059141825628712785,0.01241034695115237,0.04162221518259077,0.12082991039871616,2
Agoncillo,0.75,0.96924,0.0610926278809679,0.0037751519498659815,0.8900000000000001,0.005480382969161876,0.17318845057243953,0.0011707874482219216,0.11122933272344222,0.13127384113762428,2
Agoo,1.0,0.9897600000000001,0.10388630105104525,0.00407716410585526,0.8302,0.06055823180923874,0.29659184195891786,0.13393808407658783,0.17756917740013128,0.013588572811391527,2
Aguilar,0.79948,0.97144,0.07153218891334942,0.010268413303635468,0.39404,0.007398517008368534,0.14706012163796342,0.013815291889018675,0.15114688380299174,0.17865362448974392,2
Aguinaldo,1.0,0.4,0.02682253696403352,0.003322133715882064,0.8046,0.052611676503954014,0.01076910854731785,0.006322252220398377,0.050855812407397595,0.28640442211311284,2
Agutaya,0.0,0.0,0.01487942855175908,0.0,0.0,0.0,0.032660411168095115,0.0018732599171550747,0.021876522655696173,0.1659171235886365,1
Ajuy,1.0,0.9,0.08608388242106309,0.004832194495828456,0.5837600000000001,0.05891411691849017,0.08068004272334847,0.035357780936302034,0.07429494382421493,0.2664081156983742,2
Akbar,0.79988,0.0,0.03324393723232621,0.0,0.03528,0.0046583255237875945,0.021185131568494133,0.019200914150839517,0.0,0.8651510230594348,1
Al-Barka,0.0,0.0,0.03435419559849714,0.0,0.0,0.0,0.0,0.0,0.1664888607303631,0.9089645861592444,1
Alabat,1.0,0.91352,0.02078050397446382,0.015402619955453205,0.885,0.11426598490702514,0.17301190780936873,0.03184541859163627,0.22373716352416542,0.1688465187958912,2
Alabel,1.0,0.99092,0.14669911660674625,0.005134206651817734,0.915,0.1468742635735383,0.09197877955987868,0.592886763779581,0.4175006499031887,0.3439734061861185,2
Alamada,1.0,0.96924,0.10545945710593321,0.004228170183849899,0.9371600000000001,0.04493914034712739,0.04289989142620061,0.026693953819459812,0.11662743571640624,0.5362945697928407,2
Alaminos (LA),1.0,0.90768,0.08294627139566153,0.0043791762618445385,0.88752,0.006850478711452346,0.18713532885503148,0.0927263658991762,0.22529977228528655,0.004927752198638471,2
Alaminos (PS),1.0,0.9818,0.149159783267821,0.08562044622296046,0.9212,0.5099496352805126,0.38574593730966394,0.6954477442438214,0.27331447785428203,0.07077546185736393,0
Alang-Alang,0.75,0.9545600000000001,0.08916928694021835,0.0057382309637962915,0.37992000000000004,0.05891411691849017,0.09603926311050673,0.041914190646344794,0.11534893763912528,0.36753593285316727,2
Albuera,0.5,0.95384,0.07367613610319673,0.07852316055721241,0.48876000000000003,0.006850478711452346,0.1601242861052015,0.026928111309104195,0.18836538338605927,0.3185004043839036,1
Alburquerque,1.0,0.95384,0.011390293717632564,0.003020121559892785,0.91252,0.009864689344491378,0.06514427957311945,0.01732765423368444,0.011080316669768192,0.10452718924529864,2
Alcala (CG),0.26668,0.78976,0.06071326060224492,0.0003020121559892785,0.5,0.005206363820703783,0.013593792756450401,0.046129025459943705,0.13338996606297862,0.12796235090333632,1
Alcala (PS),1.0,0.98284,0.07815893477287748,0.0021140850919249493,0.86276,0.006850478711452346,0.09833431903042693,0.02599148135052666,0.12373020281241147,0.15878468308401633,2
Alcantara (CU),0.26668,0.16756000000000001,0.019430095679559993,0.020989844841254855,0.5844,0.008768612750659002,0.10168863152877182,0.014986079337240598,0.1133601628522438,0.2414445739322036,1
Alcantara (RN),0.79948,0.79444,0.021502693977537388,0.0,0.10840000000000001,0.0,0.27470053933814054,0.10420008289175102,0.04048577244722994,0.25609154996847716,2
Alcoy,1.0,0.79232,0.026436208817811037,0.003926158027860621,0.81752,0.009864689344491378,0.10221825981798419,0.022947433985149663,0.04829881625283571,0.2637334505091416,2
Alegria (CU),1.0,0.9179600000000001,0.033595461041051176,0.004530182339839177,0.82752,0.006850478711452346,0.11881327954663791,0.02599148135052666,0.12586103294121306,0.26755440077947384,2
Alegria (SN),0.5,0.97692,0.020911020240079525,0.011023443693608666,0.9500000000000001,0.01068674678986566,0.10151208876570104,0.02060585908870582,0.07727810600453713,0.4480306185481662,2
Aleosan,1.0,0.90768,0.06162165381093023,0.002416097247914228,0.8500000000000001,0.006850478711452346,0.08809483877232142,0.020137544109417052,0.0758575525853361,0.5719567723159416,2
Alfonso,0.7795200000000001,0.95384,0.08325951043313923,0.003926158027860621,0.98104,0.05891411691849017,0.08068004272334847,0.0388701432809678,0.11264988614264328,0.039061574613606403,2
Alfonso Castaneda,0.25,0.79488,0.006865729842954791,0.0,0.94292,0.07124497859910439,0.0060024539444066705,0.0011707874482219216,0.012074704063208928,0.2639881805271638,1
Alfonso Lista,1.0,0.9897600000000001,0.04894243366058321,0.003171127637887424,0.6425200000000001,0.006028421266078065,0.10980959863002791,0.018732599171550745,0.058100634845322956,0.18094619465194325,2
Aliaga,0.0,0.96364,0.11549528782334349,0.007097285665748045,0.995,0.04137689141717217,0.02683449998675923,0.02552316637123789,0.10398451028551688,0.057529500920212195,1
Alicia (BL),1.0,0.98284,0.033973088102899285,0.0019630790139303104,0.66832,0.03918473822950742,0.07414796048972946,0.01404944937866306,0.03849699766034846,0.3235950047443466,2
Alicia (IA),1.0,0.8,0.12160518927103335,0.015100607799463926,0.7788,0.053433733949328294,0.13999841111513203,0.047533970397810016,0.1640739199177213,0.13267485623674607,2
Alicia (ZS),0.53336,0.98284,0.061710404871548906,0.0019630790139303104,0.27084,0.006576459562994252,0.08474052627397653,0.009834614565064142,0.02883723440978132,0.4472664284940998,1
Alilem,1.0,0.98284,0.004699159833734089,0.004530182339839177,0.39752000000000004,0.006850478711452346,0.010239480258105496,0.0039806773239545335,0.008381265173286197,0.08274777270440492,2
Alimodian,1.0,0.95384,0.06217330256026594,0.001661066857941032,0.895,0.011782823383698035,0.12340339138647832,0.07118387685189283,0.0902051421192667,0.2741773812480497,2
Alitagtag,1.0,0.90284,0.03707589479080331,0.0027181094039035064,0.9,0.006850478711452346,0.149884805847096,0.07656949911371368,0.11676949105832632,0.1758515942915003,2
Allacapan,1.0,0.9314399999999999,0.05146922856290326,0.0022650911699195887,0.9,0.006850478711452346,0.08774175324617986,0.13300145411801031,0.1213152619997697,0.11815524520948362,2
Allen,0.0,0.97296,0.04010909280371229,0.0019630790139303104,0.79376,0.01068674678986566,0.39757430243540653,0.04004093072918972,0.18183083765773445,0.2773615064733266,1
Almagro,0.26668,0.71796,0.008609427151580609,0.024613990713126196,0.47752,0.01068674678986566,0.028246842091325507,0.004683149792887686,0.022160633339536384,0.3573467321322813,1
Almeria,0.75,0.97692,0.02429226162796372,0.015553626033447843,0.9750000000000001,0.01068674678986566,0.10257134534412575,0.002341574896443843,0.033240950009304576,0.18578606499436412,2
Aloguinsan,0.75,0.6000000000000001,0.048909369539960564,0.003020121559892785,0.875,0.00575440211761997,0.06708624996689808,0.016156866785462517,0.033240950009304576,0.2611861503289201,2
