,province
0,Palawan
3,Occidental Mindoro
6,Bataan
9,Cagayan
12,Leyte
15,Quezon
18,Pangasinan
21,La Union
24,Palawan
27,Iloilo
30,Basilan
33,Basilan
36,Quezon
39,Sarangani
42,Pangasinan
47,Bohol
50,Cebu
53,Romblon
56,Cebu
61,Zamboanga Sibugay
64,Northern Samar
67,Biliran
72,Misamis Occidental
75,Misamis Oriental
78,Negros Oriental
81,Southern Leyte
83,Bohol
86,Pangasinan
89,Iloilo
92,Antique
95,Cagayan
98,Palawan
103,La Union
106,Masbate
109,Eastern Samar
112,Cebu
115,Quezon
118,Zamboanga del Sur
121,Negros Oriental
124,Leyte
127,Albay
130,Ilocos Norte
133,Bohol
136,La Union
139,Oriental Mindoro
142,Lanao del Norte
145,Negros Occidental
148,Negros Oriental
151,Cavite
154,Surigao del Norte
157,Zamboanga del Norte
162,Ilocos Norte
165,Bataan
168,Catanduanes
171,Davao Oriental
174,Cagayan
177,Negros Occidental
180,Negros Oriental
183,Palawan
186,Lanao del Sur
191,Bataan
194,Eastern Samar
197,Eastern Samar
200,La Union
203,Iloilo
206,Camarines Sur
209,Batangas
212,Masbate
215,Aurora
218,Misamis Occidental
221,Zamboanga del Norte
224,Misamis Oriental
227,Misamis Oriental
230,Cagayan
233,Masbate
236,Iloilo
239,Davao Oriental
242,La Union
245,Ilocos Norte
248,Pangasinan
251,Oriental Mindoro
254,Cebu
257,Romblon
260,Catanduanes
263,Antique
266,Sorsogon
269,Cebu
272,Surigao del Sur
275,Iloilo
278,Iloilo
281,Lanao del Norte
284,Leyte
287,Negros Oriental
290,Batanes
293,Dinagat Islands
296,Camarines Norte
299,Iloilo
302,Aklan
305,Batangas
308,Palawan
311,Camarines Sur
314,Catanduanes
317,Leyte
320,Masbate
323,Batangas
326,La Union
329,Surigao del Sur
332,Negros Oriental
335,Leyte
338,Antique
341,Bohol
344,Biliran
347,Negros Occidental
350,Negros Oriental
353,Pangasinan
356,Misamis Oriental
359,Northern Samar
362,Surigao del Sur
365,Marinduque
368,Northern Samar
371,Cebu
374,Pangasinan
379,Camarines Sur
381,Oriental Mindoro
384,Tawi-Tawi
387,Misamis Occidental
390,Southern Leyte
393,Cebu
396,Eastern Samar
399,Davao Oriental
402,Zambales
405,
408,Agusan del Norte
411,Bohol
414,Guimaras
417,Marinduque
420,Quezon
423,Pangasinan
424,Antique
427,Cagayan
430,Camarines Sur
433,Bulacan
436,Oriental Mindoro
439,Sorsogon
442,Sorsogon
445,Quezon
448,Ilocos Norte
451,Pangasinan
454,Surigao del Norte
457,Aklan
460,Palawan
463,Agusan del Norte
466,Zamboanga Sibugay
469,La Union
472,Agusan del Norte
475,Zambales
478,Biliran
481,Ilocos Sur
484,Camarines Sur
487,Negros Occidental
490,Misamis Oriental
493,Dinagat Islands
496,Surigao del Sur
499,Biliran
502,Romblon
505,Camarines Sur
508,Batangas
511,Misamis Occidental
513,Oriental Mindoro
516,Bohol
519,Batangas
522,Negros Occidental
525,Romblon
528,Quezon
531,Cagayan
534,Samar
536,Occidental Mindoro
540,Leyte
543,Eastern Samar
546,Zambales
549,Bohol
552,Ilocos Sur
555,Surigao del Sur
558,Ilocos Sur
561,Camarines Norte
564,Leyte
567,Davao Oriental
570,Camarines Sur
573,Catanduanes
576,Cebu
579,Leyte
582,Iloilo
585,Agusan del Norte
590,Davao del Norte
593,Surigao del Sur
596,Surigao del Sur
599,Aurora
602,Sorsogon
605,Sorsogon
608,Masbate
611,Quezon
614,Camiguin
617,Northern Samar
620,Davao Oriental
623,Cebu
626,Negros Occidental
629,Cavite
632,Masbate
635,Cebu
638,Bohol
641,Misamis Occidental
644,Surigao del Norte
647,Cagayan
650,Masbate
653,Cebu
656,Iloilo
659,Romblon
662,Cebu
665,Romblon
668,Cebu
671,Palawan
674,Bohol
677,Surigao del Sur
680,Maguindanao del Norte
683,Biliran
686,Antique
689,Palawan
692,Ilocos Norte
695,Palawan
698,Cebu
701,Camarines Norte
704,Pangasinan
707,Cebu
710,Cebu
713,Surigao del Norte
716,Zamboanga del Norte
719,Pangasinan
722,Maguindanao del Norte
725,Maguindanao del Norte
728,Negros Oriental
731,Bohol
734,Davao del Sur
737,Surigao del Norte
740,Camarines Sur
743,Davao del Sur
746,Aurora
749,Masbate
752,Zamboanga del Sur
755,Bohol
758,Dinagat Islands
761,Aurora
764,Isabela
767,Zamboanga del Sur
770,Aurora
773,Aurora
776,Zamboanga del Norte
779,Isabela
782,Eastern Samar
785,Davao Occidental
788,Sorsogon
791,Bohol
794,Leyte
797,Negros Oriental
800,Zamboanga del Sur
803,Iloilo
806,Cebu
809,Palawan
812,Negros Occidental
815,Palawan
818,Misamis Oriental
821,Siquijor
824,Negros Occidental
827,Masbate
830,Iloilo
833,Romblon
836,Northern Samar
839,Camarines Sur
842,Bohol
845,Marinduque
848,Cagayan
851,Surigao del Norte
854,Quezon
857,Eastern Samar
860,Quezon
863,South Cotabato
866,Cavite
868,Bohol
871,Surigao del Norte
874,Catanduanes
879,Misamis Oriental
882,Eastern Samar
885,Misamis Oriental
888,Sarangani
891,Oriental Mindoro
894,Cagayan
897,Davao Oriental
900,Sorsogon
903,Negros Oriental
906,Iloilo
909,Quezon
912,Bohol
915,Camiguin
918,Eastern Samar
921,Quezon
924,Zamboanga del Norte
927,Basilan
930,Sulu
933,Bulacan
936,Davao del Sur
939,Antique
942,Bataan
945,Eastern Samar
948,Leyte
951,Negros Occidental
954,Surigao del Sur
959,Negros Occidental
962,Negros Occidental
965,Southern Leyte
968,Southern Leyte
971,Zambales
974,Aklan
977,Isabela
980,Lanao del Norte
983,Negros Occidental
986,Iloilo
989,Cavite
991,Bohol
994,Sulu
997,Pangasinan
1000,Quezon
1003,Misamis Oriental
1006,Leyte
1009,Zamboanga Sibugay
1012,Leyte
1015,Basilan
1018,Batanes
1021,Batanes
1024,Capiz
1027,Agusan del Norte
1030,Bohol
1033,Misamis Oriental
1036,Leyte
1039,Negros Oriental
1042,Misamis Occidental
1045,Sulu
1048,Quezon
1053,Davao Occidental
1056,Zamboanga del Norte
1059,Camarines Norte
1062,Sorsogon
1065,Negros Occidental
1068,Sultan Kudarat
1071,Aklan
1074,Sulu
1077,Lanao del Norte
1080,Lanao del Sur
1083,Zamboanga del Norte
1086,Lanao del Norte
1089,Biliran
1092,Cavite
1095,Sarangani
1098,Misamis Oriental
1101,Lanao del Norte
1104,Zamboanga del Sur
1107,Negros Oriental
1110,Zamboanga del Sur
1113,Zamboanga del Norte
1116,Pangasinan
1119,Misamis Oriental
1122,Camarines Sur
1125,Misamis Oriental
1128,Lanao del Norte
1131,Cagayan
1134,Basilan
1137,Tawi-Tawi
1140,Basilan
1143,Surigao del Sur
1146,Ilocos Norte
1149,Northern Samar
1152,Northern Samar
1155,Cebu
1158,Zamboanga del Sur
1161,Siquijor
1164,Metropolitan Manila
1167,Antique
1170,Northern Samar
1173,Eastern Samar
1176,Siquijor
1179,Sultan Kudarat
1182,Iloilo
1185,Albay
1188,Batangas
1191,Leyte
1194,Batangas
1197,Surigao del Sur
1200,Southern Leyte
1203,Antique
1206,Misamis Oriental
1209,Dinagat Islands
1212,Camarines Sur
1215,Albay
1218,Albay
1221,Bohol
1224,Cebu
1227,Southern Leyte
1230,Zamboanga del Norte
1233,Southern Leyte
1236,Bataan
1239,Lanao del Norte
1242,Palawan
1245,Pangasinan
1248,Surigao del Sur
1251,Eastern Samar
1254,Bohol
1257,Batangas
1260,Occidental Mindoro
1263,Romblon
1266,Bohol
1269,Quezon
1272,Misamis Occidental
1275,Dinagat Islands
1278,Occidental Mindoro
1281,Pampanga
1284,Quezon
1287,Misamis Oriental
1290,Sulu
1293,La Union
1296,Camarines Sur
1299,Davao Oriental
1302,Sulu
1305,Sarangani
1308,Southern Leyte
1311,Bohol
1314,Batangas
1317,Davao de Oro
